Museu,Número,Gênero,Espécie,Sexo,Localidade,Estado,País,Dentição ,Idade,obs,Planilha 
USNM,78428,Didelphis,virginiana,Male,Celaya,Guanajuato,Mexico,dp3 - começando,,vidro,D pinça pequena
USNM,46586,Didelphis,virginiana,Male,Etzatlan,Jalisco,Mexico,dp3 - começando,,vidro - não estava no banco de dados,D pinça pequena
USNM,46587,Didelphis,virginiana,Female,Etzatlan,Jalisco,Mexico,dp3 - começando,,vidro - não estava no banco de dados,D pinça pequena
USNM,46590,Didelphis,virginiana,Male,Etzatlan,Jalisco,Mexico,dp3 - começando,,vidro - não estava no banco de dados,D pinça pequena
USNM,46592,Didelphis,virginiana,Male,Etzatlan,Jalisco,Mexico,dp3 - começando,,vidro - não estava no banco de dados,D pinça pequena
USNM,46593,Didelphis,virginiana,Male,Etzatlan,Jalisco,Mexico,dp3 - eclodido,,vidro - não estava no banco de dados,D pinça pequena
USNM,46594,Didelphis,virginiana,Male,Etzatlan,Jalisco,Mexico,dp3 - eclodido,,vidro - não estava no banco de dados,D pinça pequena
USNM,46595,Didelphis,virginiana,Male,Etzatlan,Jalisco,Mexico,dp3m1,,vidro - não estava no banco de dados,D pinça pequena
USNM,46596,Didelphis,virginiana,Female,Etzatlan,Jalisco,Mexico,dp3 - eclodido,,vidro - não estava no banco de dados,D pinça pequena
USNM,65424,Didelphis,virginiana,Female,Tuxtepec,Oaxaca,Mexico,dp3,,vidro - na verdade nenhum eclodido,D pinça pequena
USNM,81449,Didelphis,virginiana,Male,Jalpan,Queretaro,Mexico,dp3 - começando,,vidro - pinça pequena,D pinça pequena
USNM,203536,Didelphis,virginiana,Unknown,"Leighton, 10 Mi N",Alabama,United States,nenhum eclodido,,pinça pequena,D pinça pequena
USNM,A38142,Didelphis,virginiana,Unknown,"Washington, Bennings",District Of Columbia,United States,dp3 - começando,,vidro - pinça pequena,D pinça pequena
USNM,A38144,Didelphis,virginiana,Unknown,"Washington, Bennings",District Of Columbia,United States,dp3 - começando,,vidro - pinça pequena - opi pode estar errado,D pinça pequena
USNM,A38147,Didelphis,virginiana,Unknown,"Washington, Bennings",District Of Columbia,United States,dp3 - começando,,vidro - pinça pequena,D pinça pequena
USNM,A48531,Didelphis,virginiana,Female,Hartshorne,Oklahoma,United States,dp3 - começando,,vidro - pinça pequena,D pinça pequena
USNM,A48532,Didelphis,virginiana,Female,Hartshorne,Oklahoma,United States,dp3 - começando,,vidro - pinça pequena,D pinça pequena
USNM,A48533,Didelphis,virginiana,Female,Hartshorne,Oklahoma,United States,dp3 - começando,,vidro - pinça pequena,D pinça pequena
USNM,48482,Didelphis,virginiana,Male,Hartshorne,Oklahoma,United States,dp3 - começando,,vidro - pinça pequena - não estava no banco de dados,D pinça pequena
USNM,48485,Didelphis,virginiana,Female,Hartshorne,Oklahoma,United States,dp3 - começando,,vidro - pinça pequena - não estava no banco de dados,D pinça pequena
USNM,48486,Didelphis,virginiana,Female,Hartshorne,Oklahoma,United States,dp3 - começando,,vidro - pinça pequena - não estava no banco de dados,D pinça pequena
USNM,589210,Didelphis,virginiana,FeMale,"Mountain Lake Post Office, 2.7 mi NNW; Ashby Bogs",Virginia,United States,dp3 - começando,,vidro,D pinça pequena
USNM,203535,Didelphis,virginiana,Female,"Leighton, 10 Mi N",Alabama,United States,,6,,D virginiana 1
USNM,204954,Didelphis,virginiana,FeMale,Ardell,Alabama,United States,dp3m1 - começando,,,D virginiana 1
USNM,207189,Didelphis,virginiana,Male,Ardell,Alabama,United States,,6,,D virginiana 1
USNM,207492,Didelphis,virginiana,Unknown,Ardell,Alabama,United States,,6,,D virginiana 1
USNM,207493,Didelphis,virginiana,Female,Ardell,Alabama,United States,p3m3 - começando,,,D virginiana 1
USNM,A44060,Didelphis,virginiana,Female,Sylacuga,Alabama,United States,dp3m2 - começando,,,D virginiana 1
USNM,A48539,Didelphis,virginiana,Female,Fayetteville,Arkansas,United States,,7,,D virginiana 1
USNM,A21080,Didelphis,virginiana,female,Washington,District Of Columbia,United States,,7,estava como sexo desconhecido,D virginiana 1
USNM,A23330,Didelphis,virginiana,Female,"Washington, Long Bridge, Potomac [River]",District Of Columbia,United States,,7,cranio muito grande,D virginiana 1
USNM,34768,Didelphis,virginiana,Female,,District Of Columbia,United States,,6,não estava no banco de dados,D virginiana 1
USNM,38140,Didelphis,virginiana,Female,"Washington, Bennings",District Of Columbia,United States,,6,não estava no banco de dados,D virginiana 1
USNM,174613,Didelphis,virginiana,Male,"Washington, Chain Bridge",District Of Columbia,United States,dp3m2 - começando,,,D virginiana 1
USNM,259090,Didelphis,virginiana,Female,"Washington, Cleveland Park",District Of Columbia,United States,dp3m3 - começando,,de um lado dp já caiu,D virginiana 1
USNM,567501,Didelphis,virginiana,Male,"Washington, Preble'S Garden",District Of Columbia,United States,dp3m2,,,D virginiana 1
USNM,261662,Didelphis,virginiana,Unknown,"Geneva, 2 Mi S",Georgia,United States,p3m3 - eclodido,,,D virginiana 1
USNM,261663,Didelphis,virginiana,Unknown,"Geneva, 2 Mi S",Georgia,United States,,7,,D virginiana 1
USNM,286592,Didelphis,virginiana,Male,"Vienna, Flint River",Georgia,United States,,7,na caixa o 2 final está riscado e escrito 1 por cima - crânio gigante,D virginiana 1
USNM,259036,Didelphis,virginiana,Unknown,"Washington, Cleveland Park",District Of Columbia,United States,dp3m1 - começando,,,D virginiana 1
USNM,259089,Didelphis,virginiana,Male,"Washington, Cleveland Park",District Of Columbia,United States,p3m3 - p3 e m4 ainda eclodindo,,,D virginiana 1
USNM,259006,Didelphis,virginiana,Male,Washington,District Of Columbia,United States,p3m3,,,D virginiana 1
USNM,160199,Didelphis,virginiana,Female,Olive Branch,Illinois,United States,,6,,D virginiana 1
USNM,337335,Didelphis,virginiana,Female,"Hartford City, 4 Mi NW",Indiana,United States,,6,,D virginiana 1
USNM,337336,Didelphis,virginiana,Female,"New Albany, 6 Mi N On Route 11",Indiana,United States,dp3m2 - começando,,,D virginiana 1
USNM,222007,Didelphis,virginiana,Female,"Salmon, 2 Mi W On Jessie Creek",Idaho,United States,,7,,D virginiana 1
USNM,222008,Didelphis,virginiana,Male,"Salmon, Jessie Creek, 2 Miles West On",Idaho,United States,,6,,D virginiana 1
USNM,273945,Didelphis,virginiana,Male,Stendal,Indiana,United States,dp3m3,,,D virginiana 1
USNM,313788,Didelphis,virginiana,Male,,Indiana,United States,p3m3 - começando,,,D virginiana 1
USNM,236638,Didelphis,virginiana,Unknown,Bicknell,Indiana,United States,p3m3 - começando,,,D virginiana 1
USNM,238059,Didelphis,virginiana,Unknown,Bicknell,Indiana,United States,p3m3 - p3 e m4 ainda eclodindo,,,D virginiana 1
USNM,19082,Didelphis,virginiana,Unknown,Warsaw,Illinois,United States,p3m3 - eclodido,,macho? número do crânio é 34763,D virginiana 1
USNM,19083,Didelphis,virginiana,FeMale,Warsaw,Illinois,United States,,7,estava sem sexo e número do crânio é 34764,D virginiana 1
USNM,238060,Didelphis,virginiana,Female,Bicknell,Indiana,United States,p3m3 - p3 e m4 ainda eclodindo,,,D virginiana 1
USNM,238062,Didelphis,virginiana,Male,Bicknell,Indiana,United States,,5,,D virginiana 1
USNM,300673,Didelphis,virginiana,Male,Freetown,Indiana,United States,,6,,D virginiana 1
USNM,337107,Didelphis,virginiana,Female,Southern Indiana Forage Farm,Indiana,United States,,6,,D virginiana 1
USNM,337108,Didelphis,virginiana,Female,"Mays, 2 Mi NE",Indiana,United States,,7,cranio muito grande,D virginiana 2
USNM,337109,Didelphis,virginiana,Unknown,,Indiana,United States,,7,fêmea?,D virginiana 2
USNM,261193,Didelphis,virginiana,Unknown,,Indiana,United States,,7,fêmea?,D virginiana 2
USNM,261194,Didelphis,virginiana,Unknown,,Indiana,United States,,7,macho?,D virginiana 2
USNM,261196,Didelphis,virginiana,Unknown,,Indiana,United States,,5,fêmea?,D virginiana 2
USNM,261197,Didelphis,virginiana,Unknown,,Indiana,United States,dp3m2 - começando,,"difícil dizer, talvez fêmea…",D virginiana 2
USNM,347669,Didelphis,virginiana,Female,Rochester City Dump,Indiana,United States,,6,,D virginiana 2
USNM,347672,Didelphis,virginiana,Male,"Muncie, 700n 200w Of City",Indiana,United States,,5,crânio muito grande mas os molares não estão gastos,D virginiana 2
USNM,347673,Didelphis,virginiana,Female,Purdue Horticulture Farm,Indiana,United States,,5,,D virginiana 2
USNM,347674,Didelphis,virginiana,Unknown,"Wilmot, 0.5 Mi S",Indiana,United States,dp3m2,,,D virginiana 2
USNM,395537,Didelphis,virginiana,Female,Brunswick,Indiana,United States,,7,,D virginiana 2
USNM,395539,Didelphis,virginiana,Unknown,"Brookeville, 3 Mi N",Indiana,United States,,6,macho,D virginiana 2
USNM,395540,Didelphis,virginiana,Unknown,Steubenville,Indiana,United States,,6,macho?,D virginiana 2
USNM,395541,Didelphis,virginiana,Unknown,"Dolan, Bean Blossom Creek",Indiana,United States,,5,fêmea?,D virginiana 2
USNM,395547,Didelphis,virginiana,FeMale,,Indiana,United States,p3m3 - p3 ainda eclodindo,,estava como sexo desconhecido,D virginiana 2
USNM,560470,Didelphis,virginiana,Female,Des Moines,Iowa,United States,dp3m2 - começando,,,D virginiana 2
USNM,560471,Didelphis,virginiana,Female,Des Moines,Iowa,United States,dp3m2 - começando,,,D virginiana 2
USNM,560472,Didelphis,virginiana,Male,"Johnston, 1.5 Mi N I-80, Off Merle Hay Going To Johnston",Iowa,United States,p3m3 - começando,,,D virginiana 2
USNM,560473,Didelphis,virginiana,Female,"Des Moines, Oxford",Iowa,United States,,5,,D virginiana 2
USNM,560474,Didelphis,virginiana,Female,"Des Moines, 160 51st St.",Iowa,United States,,5,,D virginiana 2
USNM,560475,Didelphis,virginiana,Male,"Clive, 8747 Sunny Hill Drive",Iowa,United States,dp3m1 - começando,,,D virginiana 2
USNM,560476,Didelphis,virginiana,Female,"Grimes, 1 Mi E, Grimes Exit",Iowa,United States,dp3m2 - começando,,,D virginiana 2
USNM,560477,Didelphis,virginiana,Male,"Des Moines, S.E. Virginia St.",Iowa,United States,dp3m1 - começando,,,D virginiana 2
USNM,560478,Didelphis,virginiana,Male,"Windsor Heights, 6706 Washington",Iowa,United States,dp3m1 - eclodido,,,D virginiana 2
USNM,560479,Didelphis,virginiana,Female,"Johnston, 5001 55th NW",Iowa,United States,dp3m1 - eclodido,,,D virginiana 2
